Name,Freq(MHz),PW(µs),Azimuth(º),Elevation(º),Power(dBm)
S1,1426.0,226.03,105,0.0,-10
S1,1376.06,226.03,105,0.0,-10
S1,1425.745,5.26,105,0.0,-10
S1,1425.745,5.26,107,0.0,-10
S1,1376.155,226.15,107,0.0,-10
S1,1376.155,226.15,109,0.0,-10
S1,1376.155,226.15,111,0.0,-10
S1,1425.875,7.87,111,0.0,-10
S1,1376.08,226.18,111,0.0,-10
S1,1376.08,226.18,108,0.0,-10
S1,1426.145,235.96,108,0.0,-12
S1,1376.08,227.23,108,0.0,-12
S1,1376.08,227.23,105,0.0,-12
S1,1376.295,240.64,105,0.0,-12
S1,1376.295,240.64,107,0.0,-12
S1,1376.175,230.62,107,0.0,-22
S1,1425.94,1.57,107,0.0,-22
S1,1425.94,1.57,104,0.0,-22
S1,1425.94,1.57,106,0.0,-22
S1,1376.125,235.93,106,0.0,-38
S1,1425.95,4.75,106,0.0,-34
S1,1376.265,308.65,106,0.0,-34
S1,1376.265,308.65,106,0.0,-34
S1,1426.145,272.68,106,0.0,-34
S1,1426.145,272.68,103,0.0,-34
S1,1426.145,272.68,103,0.0,-34
S1,1426.145,272.68,97,0.0,-34
S1,1426.145,272.68,92,0.0,-34
S1,1426.145,272.68,87,0.0,-34
S1,1426.145,272.68,87,0.0,-34
S1,1426.145,272.68,81,0.0,-34
S1,1426.145,272.68,75,0.0,-34
S1,1376.195,225.97,75,0.0,-34
S1,1376.195,225.97,68,0.0,-34
S1,1376.195,225.97,61,0.0,-34
S1,1376.195,225.97,54,0.0,-34
S1,1376.195,225.97,47,0.0,-34
S1,1426.195,236.35,47,0.0,-34
S1,1426.195,236.35,41,0.0,-34
S1,1426.195,236.35,36,0.0,-34
S1,1426.195,236.35,31,0.0,-34
S1,1426.195,236.35,27,0.0,-34
S1,1426.195,236.35,24,0.0,-34
S1,1426.195,236.35,21,0.0,-34
S1,1425.775,7.24,21,0.0,-44
S1,1425.775,7.24,18,0.0,-44
S1,1375.92,20.2,262,0.0,-41
S1,1425.775,7.24,18,0.0,-35
S1,1425.775,7.24,18,0.0,-35
S1,1425.885,16.42,18,0.0,-30
S1,1376.245,236.2,18,0.0,-30
S1,1375.92,20.2,262,0.0,-41
S1,1425.855,236.2,18,0.0,-30
S1,1376.295,236.2,18,0.0,-28
S1,1426.1,10.9,18,0.0,-28
S1,1376.01,232.48,18,0.0,-28
S1,1376.08,232.48,20,0.0,-28
S1,1426.82,232.48,20,0.0,-28
S1,1426.82,232.48,20,0.0,-28
S1,1425.92,232.48,20,0.0,-30
S1,1425.95,4.27,20,0.0,-29
S1,1425.95,4.27,22,0.0,-29
S1,1425.95,4.27,22,0.0,-29
S1,1425.95,4.27,22,0.0,-29
S1,1425.95,4.27,22,0.0,-29
S1,1425.725,4.27,22,0.0,-127
S1,1425.725,4.27,22,0.0,-127
S1,1425.835,4.27,22,0.0,-127
S1,1425.835,4.27,22,0.0,-127
S1,1425.835,4.27,22,0.0,-34
S1,1425.835,4.27,22,0.0,-34
S1,1425.835,4.27,22,0.0,-34
S1,1425.835,4.27,22,0.0,-79
S1,1425.835,4.27,22,0.0,-79
S1,1425.95,4.27,22,0.0,-79
S1,1425.95,4.27,24,0.0,-79
S1,1425.95,4.27,24,0.0,-66
S1,1425.95,4.27,24,0.0,-66
S1,1376.04,226.18,162,0.0,-11
S1,1425.95,4.27,24,0.0,-72
S1,1425.95,4.27,24,0.0,-72
S1,1425.95,4.27,24,0.0,-58
S1,1425.96,226.18,162,0.0,-11
S1,1425.95,4.27,24,0.0,-58
S1,1426.135,4.27,24,0.0,-58
S1,1425.97,4.27,26,0.0,-58
S1,1425.96,226.18,164,0.0,-11
S1,1425.97,4.27,28,0.0,-58
S1,1425.96,226.18,167,0.0,-11
S1,1425.97,4.27,30,0.0,-58
S1,1425.96,226.18,167,0.0,-46
S1,1425.96,226.18,169,0.0,-46
S1,1425.97,4.27,33,0.0,-58
S1,1425.96,226.18,171,0.0,-46
S1,1425.96,226.18,171,0.0,-46
S1,1425.97,4.27,35,0.0,-58
S1,1425.96,226.18,173,0.0,-46
S1,1425.96,226.18,175,0.0,-46
S1,1425.97,4.27,311,0.0,-58
S1,1425.96,226.18,172,0.0,-46
S1,1425.96,226.18,167,0.0,-46
S1,1426.04,8.32,167,0.0,-58
S1,1426.04,8.32,163,0.0,-58
S1,1426.04,8.32,157,0.0,-58
S1,1426.04,8.32,149,0.0,-56
S1,1426.04,8.32,141,0.0,-56
S1,1426.04,8.32,141,0.0,-56
S1,1426.04,8.32,131,0.0,-56
S1,1426.04,8.32,121,0.0,-56
S1,1426.04,8.32,110,0.0,-56
S1,1426.04,8.32,98,0.0,-56
S1,1426.04,8.32,86,0.0,-56
S1,1426.04,8.32,74,0.0,-56
S1,1426.04,8.32,62,0.0,-56
S1,1426.04,8.32,50,0.0,-56
S1,1426.04,8.32,39,0.0,-56
S1,1426.04,8.32,28,0.0,-56
S1,1426.04,8.32,17,0.0,-56
S1,1426.04,8.32,8,0.0,-56
S1,1426.04,8.32,140,0.0,-56
S1,1426.125,225.85,352,0.0,-38
S1,1426.125,225.85,352,0.0,-37
S1,1425.895,4.24,352,0.0,-37
F,4331.34,1.57,0,0.0,-127
F,4331.34,1.57,8,0.0,-127
F,4331.34,1.57,8,0.0,-42
F,4331.34,1.57,5,0.0,-42
S1,1426.08,226.12,352,0.0,-12
F,4331.35,1.57,1,0.0,-42
S1,1425.95,6.76,352,0.0,-12
F,4330.865,1.57,1,0.0,-42
F,4330.865,1.57,4,0.0,-42
F,4331.35,1.57,4,0.0,-41
S1,1425.97,6.76,352,0.0,-78
S1,1425.9,6.76,352,0.0,-12
F,4331.35,1.57,4,0.0,-41
F,4331.34,1.57,6,0.0,-41
F,4331.46,1.57,3,0.0,-40
F,4331.45,1.57,3,0.0,-35
F,4331.45,1.57,3,0.0,-35
S1,1426.02,226.12,352,0.0,-10
S1,1375.96,4.45,352,0.0,-10
F,4331.245,1.57,5,0.0,-35
F,4331.245,1.57,7,0.0,-35
F,4331.245,1.57,9,0.0,-35
S1,1425.92,4.45,352,0.0,-127
S1,1425.92,4.45,352,0.0,-10
S1,1425.59,4.45,349,0.0,-10
F,4331.4,1.57,6,0.0,-35
F,4331.4,1.57,6,0.0,-35
S1,1426.02,226.12,349,0.0,-10
S1,1425.53,4.45,349,0.0,-10
S1,1425.91,4.45,349,0.0,-61
S1,1425.91,4.45,349,0.0,-61
F,4332.525,1.57,6,0.0,-34
F,4332.525,1.57,6,0.0,-34
F,4331.51,1.57,6,0.0,-26
F,4331.51,1.57,6,0.0,-26
F,4331.51,1.57,6,0.0,-26
F,4331.51,1.57,3,0.0,-26
F,4331.615,1.57,3,0.0,-26
S1,1425.98,226.09,349,0.0,-10
S1,1425.98,4.27,349,0.0,-10
F,4331.615,1.57,0,0.0,-26
S1,1425.91,4.27,349,0.0,-10
S1,1426.245,226.3,349,0.0,-10
F,4331.93,1.57,0,0.0,-26
S1,1426.06,226.3,349,0.0,-10
F,4331.93,1.57,355,0.0,-26
F,4331.115,1.57,351,0.0,-26
F,4331.45,1.57,353,0.0,-26
F,4331.45,1.57,355,0.0,-26
F,4331.45,1.57,355,0.0,-26
S1,1426.06,226.3,349,0.0,-13
S1,1425.94,4.33,349,0.0,-13
F,4331.45,1.57,358,0.0,-26
S1,1425.94,4.33,351,0.0,-13
F,4331.45,1.57,0,0.0,-26
S1,1426.04,226.09,351,0.0,-13
S1,1425.91,4.75,351,0.0,-13
S1,1425.835,4.75,348,0.0,-13
F,4331.555,1.57,356,0.0,-29
S1,1425.63,4.75,348,0.0,-11
F,4331.555,1.57,353,0.0,-29
S1,1425.63,4.75,345,0.0,-11
S1,1426.02,226.09,345,0.0,-10
S1,1425.99,4.24,345,0.0,-10
F,4331.285,1.57,355,0.0,-29
F,4331.46,1.57,357,0.0,-29
F,4331.46,1.57,359,0.0,-29
S1,1425.94,21.91,345,0.0,-10
S1,1425.92,4.39,345,0.0,-127
F,4331.81,1.57,1,0.0,-29
F,4331.1,1.57,4,0.0,-26
S1,1425.92,4.39,347,0.0,-127
F,4331.4,1.57,7,0.0,-26
S1,1425.825,225.85,347,0.0,-10
S1,1425.9,4.3,347,0.0,-10
S1,1426.1,225.91,347,0.0,-10
F,4331.42,1.57,4,0.0,-26
S1,1426.1,225.91,344,0.0,-10
S1,1426.1,225.91,344,0.0,-10
S1,1426.1,225.91,344,0.0,-15
F,4331.49,1.57,0,0.0,-26
S1,1425.92,225.91,344,0.0,-15
S1,1425.92,225.91,344,0.0,-15
F,4331.35,1.57,2,0.0,-26
S1,1425.885,225.91,344,0.0,-8
F,4331.35,1.57,2,0.0,-35
F,4331.35,1.57,5,0.0,-35
F,4331.45,1.57,7,0.0,-35
F,4331.34,1.57,0,-31.99,-35
F,4331.285,1.72,0,0.0,-127
F,4331.285,1.72,42,0.0,-127
F,4331.285,1.72,42,0.0,-54
S1,1425.9,4.3,344,0.0,-8
F,4331.285,1.72,37,0.0,-53
F,4331.285,1.72,37,0.0,-45
S1,1425.9,4.3,346,0.0,-8
F,4331.285,1.72,37,0.0,-33
F,4331.285,1.72,37,0.0,-33
S1,1425.98,4.3,346,0.0,-8
F,4331.285,1.72,34,0.0,-33
S1,1425.98,4.3,348,0.0,-8
F,4331.225,1.72,6,0.0,-33
S1,1425.92,226.12,348,0.0,-8
F,4331.43,1.72,3,0.0,-33
F,4331.49,1.72,6,0.0,-33
F,4331.49,1.72,8,0.0,-33
S1,1426.305,226.12,348,0.0,-8
F,4331.49,1.72,8,0.0,-33
S1,1425.97,4.33,348,0.0,-8
S1,1425.91,4.33,348,0.0,-21
S1,1425.91,4.33,345,0.0,-21
F,4331.38,1.72,5,0.0,-33
S1,1426.06,226.09,345,0.0,-6
S1,1425.725,4.3,345,0.0,-49
S1,1426.03,225.79,345,0.0,-6
S1,1425.9,7.72,345,0.0,-6
F,4331.38,1.72,5,0.0,-38
F,4331.4,1.72,2,0.0,-37
F,4331.4,1.72,2,0.0,-37
F,4331.4,1.72,5,0.0,-36
F,4331.4,1.72,7,0.0,-36
S1,1425.845,226.09,345,0.0,-6
F,4331.4,1.72,9,0.0,-36
F,4332.21,1.72,12,0.0,-36
F,4331.105,1.72,15,0.0,-36
S1,1426.08,226.09,342,0.0,-6
F,4331.105,1.72,0,-90.0,-36
F,4331.575,1.6,0,0.0,-127
F,4331.575,1.6,1,0.0,-127
F,4331.575,1.6,1,0.0,-39
S1,1426.08,226.09,344,0.0,-6
F,4331.575,1.6,3,0.0,-39
F,4331.575,1.6,3,0.0,-39
F,4331.575,1.6,3,0.0,-28
S1,1425.67,4.48,344,0.0,-10
S1,1425.865,226.09,344,0.0,-10
S1,1376.02,226.09,344,0.0,-10
S1,1425.92,226.09,344,0.0,-10
S1,1425.9,9.55,344,0.0,-10
S1,1425.9,9.55,341,0.0,-10
F,4331.4,1.6,3,0.0,-28
F,4331.4,1.6,139,-56.6,-28
F,4331.675,1.6,0,0.0,-127
F,4331.675,1.6,328,0.0,-127
F,4331.675,1.6,328,0.0,-69
S1,1425.9,9.55,338,0.0,-10
F,4331.675,1.6,328,0.0,-61
S1,1425.98,226.12,338,0.0,-7
S1,1375.57,226.12,338,0.0,-7
S1,1426.08,226.12,338,0.0,-6
F,4331.675,1.6,328,0.0,-55
F,4331.675,1.6,180,-31.99,-55
S1,1426.08,226.12,335,0.0,-6
S1,1426.08,226.12,304,0.0,-6
S1,1425.885,226.12,194,0.0,-7
S1,1425.94,226.12,194,0.0,-6
S1,1425.95,4.3,194,0.0,-6
S1,1425.95,4.3,191,0.0,-6
