Name,Frequency,Amplitude,PulseWidth,AOA
F,4331.555,-29,1.57,353
S1,1425.63,-11,4.75,345
S1,1426.02,-10,226.09,345
S1,1425.99,-10,4.24,345
F,4331.285,-29,1.57,355
F,4331.46,-29,1.57,357
F,4331.46,-29,1.57,359
S1,1425.94,-10,21.91,345
S1,1425.92,-127,4.39,345
F,4331.81,-29,1.57,1
F,4331.1,-26,1.57,4
S1,1425.92,-127,4.39,347
F,4331.4,-26,1.57,7
S1,1425.825,-10,225.85,347
S1,1425.9,-10,4.3,347
S1,1426.1,-10,225.91,347
F,4331.42,-26,1.57,4
S1,1426.1,-10,225.91,344
S1,1426.1,-10,225.91,344
S1,1426.1,-15,225.91,344
F,4331.49,-26,1.57,0
S1,1425.92,-15,225.91,344
S1,1425.92,-15,225.91,344
F,4331.35,-26,1.57,2
S1,1425.885,-8,225.91,344
F,4331.35,-35,1.57,2
F,4331.35,-35,1.57,5
F,4331.45,-35,1.57,7
F,4331.34,-35,1.57,0
F,4331.285,-127,1.72,0
F,4331.285,-127,1.72,42
F,4331.285,-54,1.72,42
S1,1425.9,-8,4.3,344
F,4331.285,-53,1.72,37
F,4331.285,-45,1.72,37
S1,1425.9,-8,4.3,346
F,4331.285,-33,1.72,37
F,4331.285,-33,1.72,37
S1,1425.98,-8,4.3,346
F,4331.285,-33,1.72,34
S1,1425.98,-8,4.3,348
F,4331.225,-33,1.72,6
S1,1425.92,-8,226.12,348
F,4331.43,-33,1.72,3
F,4331.49,-33,1.72,6
F,4331.49,-33,1.72,8
S1,1426.305,-8,226.12,348
F,4331.49,-33,1.72,8
S1,1425.97,-8,4.33,348
S1,1425.91,-21,4.33,348
S1,1425.91,-21,4.33,345
F,4331.38,-33,1.72,5
S1,1426.06,-6,226.09,345
S1,1425.725,-49,4.3,345
S1,1426.03,-6,225.79,345
S1,1425.9,-6,7.72,345
F,4331.38,-38,1.72,5
F,4331.4,-37,1.72,2
F,4331.4,-37,1.72,2
F,4331.4,-36,1.72,5
F,4331.4,-36,1.72,7
S1,1425.845,-6,226.09,345
